,Error_L1,Error_L2,F1_score,K,RMS_noisy,RMS_true,SNR,accuracy,lambda,precision,recall,threshold
654,0.06980652886929138,0.0007565990033807276,1.0,1000,8.662098963841277e-08,8.396955619147615e-08,6066393.898058201,1,0.0001,1.0,1.0,0.01
655,0.031359517887395695,8.229268010730799e-05,1.0,1000,6.178718101287604e-09,5.717312877430452e-09,10374293.318806127,1,0.0001,1.0,1.0,0.01
656,0.04659071770128711,0.00014084809641035716,1.0,1000,1.585654141118992e-08,1.5098872175869865e-08,6487726.65911812,1,0.0001,1.0,1.0,0.01
657,0.035632972870777616,7.468620000488299e-05,1.0,1000,1.0204383036747887e-08,1.011710063811778e-08,12122990.782326967,1,0.0001,1.0,1.0,0.01
658,0.04928290051751879,0.0002627452388822409,1.0,1000,1.7875324223732477e-08,1.6701501862429104e-08,15551422.777567217,1,0.0001,1.0,1.0,0.01
659,0.05045885847161431,0.00016335900151772086,1.0,1000,1.686445464385647e-08,1.714530829977732e-08,7280177.65612197,1,0.0001,1.0,1.0,0.01
660,0.04656625799544201,0.00021543104579867836,1.0,1000,1.633399141944056e-08,1.6779739800731954e-08,8866284.527970305,1,0.0001,1.0,1.0,0.01
661,0.09337080504898512,0.0014657344027478123,1.0,1000,1.0510480434292132e-07,1.0425864986768012e-07,10785189.659028841,1,0.0001,1.0,1.0,0.01
662,0.0684677177204173,0.0004200020435498272,1.0,1000,5.785806782817901e-08,5.6213306907141304e-08,12738687.725130003,1,0.0001,1.0,1.0,0.01
663,0.03768297557442541,0.00015860347593147804,1.0,1000,9.407037691855568e-09,8.42825552630361e-09,14046815.775708785,1,0.0001,1.0,1.0,0.01
664,0.07099296662401335,0.0006227546446576102,1.0,1000,3.1129959515540064e-08,2.919561577159776e-08,3174960.071611304,1,0.0001,1.0,1.0,0.01
665,0.0353845891589554,0.00010540953438213812,1.0,1000,2.748221907560079e-08,2.6372488935146486e-08,1612369.2288037927,1,0.0001,1.0,1.0,0.01
666,0.06628960680908004,0.0002649572937673519,1.0,1000,4.675248165254884e-08,4.7942496060279423e-08,8993922.606953783,1,0.0001,1.0,1.0,0.01
667,0.042301120249852206,0.00023083715329756086,1.0,1000,2.229961663977347e-08,2.3577674007928304e-08,10175657.843647305,1,0.0001,1.0,1.0,0.01
668,0.03985328060459413,8.821254809174163e-05,1.0,1000,1.1442862359173713e-08,1.1776579871292972e-08,13713726.29456364,1,0.0001,1.0,1.0,0.01
669,0.02645710783963377,5.547722301150144e-05,1.0,1000,5.963990162550714e-09,5.487426464905132e-09,14242742.676396165,1,0.0001,1.0,1.0,0.01
670,0.023666887845550266,3.206945621810445e-05,1.0,1000,5.094410298018141e-09,4.38909439775548e-09,14834881.48444533,1,0.0001,1.0,1.0,0.01
671,0.04875117028703199,0.00013671059927116268,1.0,1000,3.8694704686515275e-08,3.9532461142764185e-08,7566345.8210868975,1,0.0001,1.0,1.0,0.01
672,0.05747215580836987,0.00021125349678127178,1.0,1000,1.3527355056000918e-08,1.4275971651574968e-08,15683967.0269867,1,0.0001,1.0,1.0,0.01
673,0.04540633500761183,0.0001460321504514691,1.0,1000,2.6389252115744514e-08,2.4902245564409025e-08,5651159.163955759,1,0.0001,1.0,1.0,0.01
674,0.061901321460402364,0.00034938773077261803,1.0,1000,5.05127057214704e-08,5.072568657653226e-08,12996119.848572375,1,0.0001,1.0,1.0,0.01
675,0.048721985277759644,0.00018570307842850483,1.0,1000,1.535812039190254e-08,1.4900905686591485e-08,6948662.636836398,1,0.0001,1.0,1.0,0.01
676,0.06804948440874697,0.0005374888238138056,1.0,1000,8.973653730794504e-08,8.879022563774859e-08,10138211.686711127,1,0.0001,1.0,1.0,0.01
677,0.07940550162248547,0.0006427154329517831,1.0,1000,1.793656969505279e-07,1.7912746790162405e-07,13299895.717400076,1,0.0001,1.0,1.0,0.01
678,0.08754437579621956,0.0008708274916010228,0.9473684210526316,1000,5.901774756535164e-08,5.977314265012226e-08,5650710.107204999,0,0.0001,0.9,1.0,0.01
679,0.08015649804717025,0.0009946250289095742,1.0,1000,1.0290834385043839e-07,1.0305563375845372e-07,8390592.724939939,1,0.0001,1.0,1.0,0.01
680,0.09190278365637128,0.0011761537727348766,0.9411764705882353,1000,5.0530566375031796e-08,5.009420289027276e-08,20862232.393100668,0,0.0001,0.8888888888888888,1.0,0.01
681,0.04714130447610009,0.00017622657091237443,1.0,1000,1.0252890066823264e-08,9.524450556841289e-09,13894496.471987555,1,0.0001,1.0,1.0,0.01
682,0.05202643792222569,0.00019405527896223444,1.0,1000,2.4902577165584243e-08,2.428090894682953e-08,10998243.778034989,1,0.0001,1.0,1.0,0.01
683,0.07307304679666675,0.0003789341706216227,1.0,1000,5.688874022378404e-08,5.609983717679324e-08,13156604.091589605,1,0.0001,1.0,1.0,0.01
684,0.05016255450021983,0.0002057467123170905,1.0,1000,1.0340267456060784e-08,9.529475536774645e-09,11930366.306845577,1,0.0001,1.0,1.0,0.01
685,0.0626063588772552,0.00029885474267929424,1.0,1000,1.0270225023667036e-07,9.950571778836899e-08,8469834.804176979,1,0.0001,1.0,1.0,0.01
686,0.053940628536550676,0.00021084353281712937,1.0,1000,3.598497675246257e-08,3.714206772919879e-08,8260132.512233674,1,0.0001,1.0,1.0,0.01
687,0.025030354146088753,4.5354218569162714e-05,1.0,1000,5.6185022680197755e-09,5.603683624634906e-09,22016083.040899836,1,0.0001,1.0,1.0,0.01
688,0.051167309403803075,0.0001959520014560264,1.0,1000,1.1047576350551062e-07,1.0972503698900297e-07,16467772.461631065,1,0.0001,1.0,1.0,0.01
689,0.05073763801437901,0.00021171371794630376,1.0,1000,3.640292060982466e-08,3.547696963818471e-08,13306280.79095056,1,0.0001,1.0,1.0,0.01
690,0.01535041491153265,1.597403021411266e-05,1.0,1000,9.1310135595454e-09,8.74294878592017e-09,5047942.796591254,1,0.0001,1.0,1.0,0.01
691,0.05336862557330817,0.00021614729990118752,1.0,1000,1.3355331932680643e-08,1.3204116565372245e-08,8471201.15125068,1,0.0001,1.0,1.0,0.01
692,0.06604040798720259,0.0007027522340614299,1.0,1000,4.4662328330926454e-08,4.671569094825489e-08,8190378.2836513305,1,0.0001,1.0,1.0,0.01
693,0.07509182057057445,0.0009030032217222167,1.0,1000,8.177870136492794e-08,8.2501970897182e-08,9154233.97222931,1,0.0001,1.0,1.0,0.01
694,0.022983589574151045,4.564302256163914e-05,1.0,1000,1.604295708595346e-08,1.5512555668095386e-08,10220760.650350098,1,0.0001,1.0,1.0,0.01
695,0.035830252279377896,8.85241677752387e-05,1.0,1000,1.3762647832226243e-08,1.2910498628408203e-08,22759379.044902477,1,0.0001,1.0,1.0,0.01
696,0.016291005541914406,2.013488023686393e-05,1.0,1000,5.231949556916338e-09,4.843024152154588e-09,10686192.766251268,1,0.0001,1.0,1.0,0.01
697,0.044689282905266976,0.00016824033423598457,1.0,1000,1.2262147747585504e-07,1.2273454448622445e-07,11152380.6287187,1,0.0001,1.0,1.0,0.01
698,0.0488636201021258,0.00018104019987958265,1.0,1000,1.082498040720864e-08,1.0116996073993833e-08,9439220.242138684,1,0.0001,1.0,1.0,0.01
699,0.05882702159611688,0.0002759490776826592,1.0,1000,4.212192599742731e-08,4.1976847737645544e-08,8624276.904107146,1,0.0001,1.0,1.0,0.01
700,0.07180682451118961,0.0008404716838219803,1.0,1000,1.4866063770642446e-08,1.476440697802328e-08,8300247.166029125,1,0.0001,1.0,1.0,0.01
701,0.03348395804250527,8.124478852661618e-05,1.0,1000,4.221741968552333e-09,3.974940962343964e-09,5200150.819553236,1,0.0001,1.0,1.0,0.01
702,0.05002323087755923,0.0002113120311421546,1.0,1000,4.625877580075321e-08,4.607034884344486e-08,4238213.642353757,1,0.0001,1.0,1.0,0.01
703,0.029056517564175346,6.861781775652308e-05,1.0,1000,6.3306614925036585e-09,6.091634984945178e-09,12610205.78962396,1,0.0001,1.0,1.0,0.01
704,0.08914565467984578,0.0009213019394973795,0.9333333333333333,1000,3.843640447589948e-08,3.6068544080665526e-08,9027219.74997001,0,0.0001,0.875,1.0,0.01
